fecha,ph_tn,fij_tn
2025-10-28,7158,0
2025-10-29,7245,0
2025-10-30,15780,0
2025-10-31,39140,0
2025-11-01,31,0
2025-11-03,7212,30
2025-11-04,10070,0
2025-11-05,14740,0
2025-11-06,6049,0
2025-11-07,13075,0
2025-11-10,11000,0
2025-11-11,8030,0
2025-11-12,11569,149
2025-11-13,14753,152
2025-11-14,10821,120
2025-11-17,12066,0
2025-11-18,19309,0
2025-11-19,19386,0
2025-11-20,23272,0
2025-11-21,1090,0
2025-11-25,27054,0
2025-11-26,40027,0
2025-11-27,71391,0
2025-11-28,24365,0
2025-12-01,8309,0
2025-12-02,15246,0
2025-12-03,23798,0
2025-12-04,26165,261
2025-12-05,20268,0
2025-12-08,90,0
2025-12-09,33559,2038
2025-12-10,37160,0
2025-12-11,36074,0
2025-12-12,61353,0
2025-12-13,90,0
2025-12-15,35808,1388
2025-12-16,32590,227
2025-12-17,40803,0
2025-12-18,40383,1000
2025-12-19,55239,0
2025-12-20,210,0
2025-12-22,37979,0
2025-12-23,26986,0
2025-12-24,1531,0
2025-12-26,25183,90
2025-12-27,370,0
2025-12-28,183,0
2025-12-29,31884,76
2025-12-30,34731,0
2025-12-31,120,0
2026-01-02,40272,250
2026-01-04,90,0
2026-01-05,31341,0
2026-01-06,37220,0
2026-01-07,49481,0
2026-01-08,56522,0
2026-01-09,28402,0
2026-01-12,26206,0
2026-01-13,65875,0
2026-01-14,28326,0
2026-01-15,37869,0
2026-01-16,16929,0
2026-01-17,231,0
2026-01-19,12783,0
2026-01-20,42312,0
2026-01-21,50812,60
2026-01-22,40690,90
2026-01-23,17791,0
2026-01-26,13454,0
2026-01-27,20411,0
2026-01-28,10498,0
2026-01-29,13106,0
2026-01-30,24552,0
2026-01-31,74,0
2026-02-02,21215,0
2026-02-03,27526,0
2026-02-04,31694,0
2026-02-05,20463,0
2026-02-06,21328,0
2026-02-08,90,0
2026-02-09,8428,0
2026-02-10,16643,0
2026-02-11,10862,0
2026-02-12,13980,0
2026-02-13,10558,0
2026-02-18,4464,0
2026-02-19,15698,0
2026-02-20,15018,0
2026-02-23,4787,0
2026-02-24,44214,30
2026-02-25,15454,0
2026-02-26,9960,0
2026-02-27,9781,0
2026-02-28,90,0
2026-03-02,3697,0
2026-03-03,14482,31
2026-03-04,8805,0
2026-03-05,8504,0
2026-03-06,6037,0
2026-03-09,6546,0
2026-03-10,3538,0
2026-03-11,412,0
2026-03-12,11121,0
2026-03-13,6410,0
2026-03-16,6461,0
2026-03-17,7426,0
2026-03-18,7167,0
2026-03-19,6022,0
2026-03-20,7855,0
2026-03-23,834,0
2026-03-24,180,0
2026-03-25,12591,0
2026-03-26,13861,0
2026-03-27,4852,0
2026-03-28,90,0
2026-03-30,2747,0
2026-03-31,8076,0
2026-04-01,6690,0
2026-04-06,2167,0
2026-04-07,3653,0
2026-04-08,2968,0
2026-04-09,4164,0
2026-04-10,2292,0
2026-04-13,1119,0
2026-04-14,2516,0
2026-04-15,849,0
2026-04-16,972,0
2026-04-17,1854,0
2026-04-20,6531,0
2026-04-21,4652,0
2026-04-22,6936,0
2026-04-23,2784,0
2026-04-24,5911,0
2026-04-27,3544,0
2026-04-28,3875,0
2026-04-29,3480,0
2026-04-30,4460,0
2026-05-04,4711,0
2026-05-05,4903,0
2026-05-06,4316,0
2026-05-07,5185,0
2026-05-08,1203,0
2026-05-11,4173,0
2026-05-12,4633,0
2026-05-13,6258,0
2026-05-14,6296,0
2026-05-15,6250,0
2026-05-18,3332,0
2026-05-19,6921,0
2026-05-20,426,0
